id,name,designation,company
3305,Brian Jude McNamara,Independent Director,rainindustries
3306,Nirmala Reddy,Independent Director,rainindustries
3307,Jagan Mohan Reddy Nellore,Vice Chairman,rainindustries
3308,N Radhakrishna Reddy,Managing Director,rainindustries
3309,Radhika Vijay Haribhakti,Independent Director,rainindustries
3310,Varun Batra,Independent Director,rainindustries
3311,Rajesh Mehta,Executive Chairman,rajeshexports
3312,G Shanker Prasad,Independent Director,rajeshexports
3313,Asha Mehta,Independent Director,rajeshexports
3314,Prashant Mehta,Managing Director,rajeshexports
3315,Vijaya Lakshmi,Independent Director,rajeshexports
3316,T D Joseph,Non Exe.Non Ind.Director,rajeshexports
3317,Bhaskar Bhat,"Chairman, Non Ind & Non Exe Director",rallisindia
3318,R Mukundan,Non Exe.Non Ind.Director,rallisindia
3319,C V Natraj,Ind. Non-Executive Director,rallisindia
3320,Sanjiv Lal,Managing Director & CEO,rallisindia
3321,Padmini Khare Kaicker,Ind. Non-Executive Director,rallisindia
3322,Punita Kumar Sinha,Ind. Non-Executive Director,rallisindia
3323,P R Venketrama Raja,Chairman & Managing Director,theramcocements
3324,M B N Rao,Independent Director,theramcocements
3325,Chitra Venkataraman,Independent Director,theramcocements
3326,M S Krishnan,Independent Director,theramcocements
3327,R S Agarwal,Independent Director,theramcocements
3328,M M Venkatachalam,Independent Director,theramcocements
3329,M F Farooqui,Independent Director,theramcocements
3330,S C Mudgerikar,Chairman & Managing Director,rashtriyachemicalsfertilisers
3331,Sudhir D Panadare,Director - Technical,rashtriyachemicalsfertilisers
3332,Shashi Bala Bharti,Independent Director,rashtriyachemicalsfertilisers
3333,Anil Kumar Singh,Independent Director,rashtriyachemicalsfertilisers
3334,Aparna S Sharma,Government Nominee Director,rashtriyachemicalsfertilisers
3335,Umesh Dongre,Director - Finance & CFO,rashtriyachemicalsfertilisers
3336,K U Thankachen,Director - Marketing,rashtriyachemicalsfertilisers
3337,Shambhu Kumar,Independent Director,rashtriyachemicalsfertilisers
3338,Alka Tiwari,Government Nominee Director,rashtriyachemicalsfertilisers
3339,Prakash M Sanghvi,Chairman & Managing Director,ratnamanimetalstubes
3340,Shanti M Sanghvi,Whole Time Director,ratnamanimetalstubes
3341,VinodKumar M Agrawal,Independent Director,ratnamanimetalstubes
3342,Nidhi G Gadhecha,Independent Woman Director,ratnamanimetalstubes
3343,Jayanti M Sanghvi,Joint Managing Director,ratnamanimetalstubes
3344,Divyabhash C Anjaria,Independent Director,ratnamanimetalstubes
3345,Pravinchandra M Mehta,Independent Director,ratnamanimetalstubes
3346,Prakash Chandra,Non Exe. Ind. Part Time Chairman,rblbank
3347,Rajeev Ahuja,Executive Director,rblbank
3348,Veena Mankar,Non Exe.Non Ind.Director,rblbank
3349,Vimal Bhandari,Non Exe.Non Ind.Director,rblbank
3350,Somnath Ghosh,Ind. Non-Executive Director,rblbank
3351,Manjeev Singh Puri,Ind. Non-Executive Director,rblbank
3352,Vishwavir Ahuja,Managing Director & CEO,rblbank
3353,Vijay Mahajan,Non Exe.Non Ind.Director,rblbank
3354,Ranjana Agarwal,Non Exe.Non Ind.Director,rblbank
3355,Ishan Raina,Ind. Non-Executive Director,rblbank
3356,Chandan Sinha,Ind. Non-Executive Director,rblbank
3357,Sanjay Malhotra,Chairman & Managing Director,rec
3358,Sanjeev Kumar Gupta,Director - Technical,rec
3359,Tanmay Kumar,Government Nominee Director,rec
3360,Ajoy Choudhury,Director - Finance,rec
3361,Praveen Kumar Singh,Nominee Director,rec
3362,J Ramachandran,Non Exe.Chairman&Ind.Director,redingtonindia
3363,Rajiv Srivastava,Joint Managing Director,redingtonindia
3364,Anita P Belani,Independent Director,redingtonindia
3365,V S Hariharan,Independent Director,redingtonindia
3366,Chen Yi-Ju,Non Exe. & Nominee Director,redingtonindia
3367,Raj Shankar,Vice Chairman & Mng.Director,redingtonindia
3368,S V Krishnan,WholeTime Director & CFO,redingtonindia
3369,B Ramaratnam,Independent Director,redingtonindia
3370,Keith WF Bradley,Independent Director,redingtonindia
3371,Tu Shu-Chyuan,Non Exe. & Nominee Director,redingtonindia
3372,Ramesh Kumar Dua,Managing Director,relaxofootwears
3373,Nikhil Dua,Whole Time Director,relaxofootwears
3374,Vivek Kumar,Independent Director,relaxofootwears
3375,Deepa Verma,Independent Director,relaxofootwears
3376,Mukand Lal Dua,Whole Time Director,relaxofootwears
3377,Deval Ganguly,Whole Time Director,relaxofootwears
3378,Pankaj Shrimali,Independent Director,relaxofootwears
3379,Rajeev Rupendra Bhadauria,Independent Director,relaxofootwears
3380,Mukesh D Ambani,Chairman & Managing Director,relianceindustries
3381,Pawan Kumar Kapil,Executive Director,relianceindustries
3382,Hital R Meswani,Executive Director,relianceindustries
3383,Yogendra P Trivedi,Non Executive Director,relianceindustries
3384,Raghunath A Mashelkar,Non Executive Director,relianceindustries
3385,Raminder Singh Gujral,Non Executive Director,relianceindustries
3386,Arundhati Bhattacharya,Non Executive Director,relianceindustries
3387,P M S Prasad,Executive Director,relianceindustries
3388,Nikhil R Meswani,Executive Director,relianceindustries
3389,Nita M Ambani,Non Executive Director,relianceindustries
3390,Dipak C Jain,Non Executive Director,relianceindustries
3391,Adil Zainulbhai,Non Executive Director,relianceindustries
3392,Shumeet Banerji,Non Executive Director,relianceindustries
3393,K V Chowdary,Non Executive Director,relianceindustries
3394,Rishabh Agarwal,Non Executive Chairman,responsiveindustries
3395,Mrunal Shetty,Executive Director,responsiveindustries
3396,Manish Kumar Agarwal,Additional Non Exe.Non Ind.Director,responsiveindustries
3397,Mehul Vala,Whole Time Director,responsiveindustries
3398,Bhumika Jain,Ind. Non-Executive Director,responsiveindustries
3399,Mita Jha,Additional Non Exe.Non Ind.Director,responsiveindustries
3400,Vijay Sharma,Chairman & Ind.Director,rhimagnesitaindia
3401,R V S Rudraraju,Executive Director,rhimagnesitaindia
3402,Gustavo Lucio Goncalves Franco,Non Executive Director,rhimagnesitaindia
3403,Nazim Sheikh,Independent Director,rhimagnesitaindia
3404,Parmod Sagar,Managing Director & CEO,rhimagnesitaindia
3405,Erwin Jankovits,Non Executive Director,rhimagnesitaindia
3406,Sonu Chadha,Independent Director,rhimagnesitaindia
3407,Gopi Sureshkumar Varadarajan,Chairman & Managing Director,rites
3408,Bibhu Prasad Nayak,Director - Finance & CFO,rites
3409,Anil Vij,Director - Technical,rites
3410,Vinay Srivastava,Government Nominee Director,rites
3411,Edward Menezes,Executive Chairman,rossaribiotech
3412,Meher Castelino,Independent Director,rossaribiotech
3413,Aseem Dhru,Independent Director,rossaribiotech
3414,Sharabh Pachory,Independent Director,rossaribiotech
3415,Sunil Chari,Managing Director,rossaribiotech
3416,Goutam Bhattacharya,Independent Director,rossaribiotech
3417,Robin Banerjee,Independent Director,rossaribiotech
3418,Acharya Balkrishna,Chairman & Non-Exe.Director,ruchisoyaindustries
3419,Swami Ramdev,Non Exe.Non Ind.Director,ruchisoyaindustries
3420,Tejendra Mohan Bhasin,Independent Director,ruchisoyaindustries
3421,Ram Bharat,Managing Director,ruchisoyaindustries
3422,Gyan Sudha Misra,Independent Director,ruchisoyaindustries
3423,Girish Kumar Ahuja,Independent Director,ruchisoyaindustries
3424,Soma Mondal,Chairman,steelauthorityindia
3425,N Shankarappa,Independent Director,steelauthorityindia
3426,Amit Sen,Director - Finance,steelauthorityindia
3427,Amarendu Prakash,Director,steelauthorityindia
3428,Sukriti Likhi,Government Director,steelauthorityindia
3429,Krishan Kumar Gupta,Independent Director,steelauthorityindia
3430,Harinand Rai,Director - Technical,steelauthorityindia
3431,Anirban Dasgupta,Director - Planning,steelauthorityindia
3432,Puneet Kansal,Government Director,steelauthorityindia
3433,Aditya Narayan,Chairman,sanofiindia
3434,Vaibhav Karandikar,WholeTime Director & CFO,sanofiindia
3435,Charles Billard,Non Executive Director,sanofiindia
3436,Marc Antoine Lucchini,Non Executive Director,sanofiindia
3437,Usha Thorat,Independent Director,sanofiindia
3438,Rajaram Narayanan,Managing Director,sanofiindia
3439,Cherian Mathew,Whole Time Director,sanofiindia
3440,Cyril Grandchamp Desraux,Non Executive Director,sanofiindia
3441,Rahul Bhatnagar,Independent Director,sanofiindia
3442,Sanjiv Goenka,Chairman & Non-Exe.Director,saregamaindia
3443,Preeti Goenka,Non Executive Director,saregamaindia
3444,Suhana Murshed,Ind. Non-Executive Director,saregamaindia
3445,Arindam Sarkar,Ind. Non-Executive Director,saregamaindia
3446,Umang Kanoria,Ind. Non-Executive Director,saregamaindia
3447,Vikram Mehra,Managing Director,saregamaindia
3448,Avarna Jain,Non Executive Director,saregamaindia
3449,Santanu Bhattacharya,Ind. Non-Executive Director,saregamaindia
3450,Noshir Naval Framjee,Ind. Non-Executive Director,saregamaindia
3451,Dinesh Kumar Khara,Chairman,statebankindia
3452,Ashwani Bhatia,Managing Director,statebankindia
3453,Ashwini Kumar Tewari,Managing Director,statebankindia
3454,Ganesh Natarajan,Shareholder Director,statebankindia
3455,Mrugank M Paranjape,Shareholder Director,statebankindia
3456,Sanjeev Maheshwari,Government Nominee Director,statebankindia
3457,Chandan Sinha,Government Nominee Director,statebankindia
3458,Challa Sreenivasulu Setty,Managing Director,statebankindia
3459,J Swaminathan,Managing Director,statebankindia
3460,B Venugopal,Shareholder Director,statebankindia
3461,Ketan S Vikamsey,Shareholder Director,statebankindia
3462,Pushpendra Rai,Government Nominee Director,statebankindia
3463,Debasish Panda,Government Nominee Director,statebankindia
3464,Rajnish Kumar,Chairman,sbilifeinsurancecompany
3465,Nilesh S Vikamsey,Independent Director,sbilifeinsurancecompany
3466,Raj Narain Bhardwaj,Independent Director,sbilifeinsurancecompany
3467,Deepak Amin,Independent Director,sbilifeinsurancecompany
3468,Mahesh Kumar Sharma,Managing Director & CEO,sbilifeinsurancecompany
3469,Ravi Rambabu,Independent Director,sbilifeinsurancecompany
3470,Joji Sekhon Gill,Independent Director,sbilifeinsurancecompany
3471,Dinesh Kumar Khara,Nominee Director,sbilifeinsurancecompany
3472,Avinash Gandhi,Chairman,schaefflerindia
3473,Dharmesh Arora,Director,schaefflerindia
3474,Satish Patel,Director - Finance & CFO,schaefflerindia
3475,Renu Challu,Director,schaefflerindia
3476,Arvind Balaji,Director,schaefflerindia
3477,Harsha Kadam,Managing Director & CEO,schaefflerindia
3478,Amit Kalyani,Director,schaefflerindia
3479,Klaus Rosenfeld,Director,schaefflerindia
3480,Juergen Ziegler,Director,schaefflerindia
3481,Eranti V Sumithasri,Director,schaefflerindia
3482,Kamal K Sharma,Chairman & Ind.Director,sequentscientific
3483,Sharat Narasapur,Joint Managing Director,sequentscientific
3484,Neeraj Bharadwaj,Non Executive Director,sequentscientific
3485,Rahul Mukim,Non Executive Director,sequentscientific
3486,Kausalya Santhanam,Independent Director,sequentscientific
3487,Manish Gupta,Managing Director & CEO,sequentscientific
3488,Gregory John Andrews,Non Executive Director,sequentscientific
3489,Fabian Kausche,Non Executive Director,sequentscientific
3490,Milind Sarwate,Independent Director,sequentscientific
3491,Rahul Gautam,Chairman & Managing Director,sheelafoam
3492,Rakesh Chahar,Whole Time Director,sheelafoam
3493,Vijay Kumar Chopra,Independent Director,sheelafoam
3494,Ravindra Dhariwal,Independent Director,sheelafoam
3495,Vijay Kumar Ahluwalia,Independent Director,sheelafoam
3496,Namita Gautam,Whole Time Director,sheelafoam
3497,Tushaar Gautam,Whole Time Director,sheelafoam
3498,Som Mittal,Independent Director,sheelafoam
3499,Anil Tandon,Independent Director,sheelafoam
3500,Meena Jagtiani,Independent Director,sheelafoam
3501,Omprakash Inani,Chairman,shilpamedicare
3502,Sharath Reddy Kalakota,Whole Time Director,shilpamedicare
3503,Rajender Sunki Reddy,Independent Director,shilpamedicare
3504,Pramod Badrinarayan Kasat,Independent Director,shilpamedicare
3505,Vishnukant Chaturbhuj Bhutada,Managing Director,shilpamedicare
3506,Naresh Patwari,Non Executive Director,shilpamedicare
3507,Piyush Goenka,Independent Director,shilpamedicare
3508,Sirisha Chintapalli,Independent Woman Director,shilpamedicare
3509,H K Joshi,Chairperson & Managing Director,shippingcorporationindia
3510,B K Tyagi,Director,shippingcorporationindia
3511,Sanjay Kumar,Government Director,shippingcorporationindia
3512,Mavjibhai Sorathia,Independent Director,shippingcorporationindia
3513,Atul Ubale,Director,shippingcorporationindia
3514,Vikram Singh,Government Director,shippingcorporationindia
3515,Pramod Kumar Panda,Independent Director,shippingcorporationindia
3516,B G Bangur,Chairman,shreecements
3517,Prashant Bangur,Joint Managing Director,shreecements
3518,Sanjiv Krishnaji Shelgikar,Independent Director,shreecements
3519,O P Setia,Independent Director,shreecements
3520,Y K Alagh,Independent Director,shreecements
3521,Uma Ghurka,Independent Director,shreecements
3522,H M Bangur,Managing Director,shreecements
3523,P N Chhangani,Whole Time Director,shreecements
3524,R L Gaggar,Independent Director,shreecements
3525,Shreekant Somany,Independent Director,shreecements
3526,Nitin Desai,Independent Director,shreecements
3527,Debendranath Sarangi,Non Exe.Ind.Chairman,shriramcityunionfinance
3528,Duruvasan Ramachandra,Non Exe.Non Ind.Director,shriramcityunionfinance
3529,Maya S Sinha,Ind. Non-Executive Director,shriramcityunionfinance
3530,Venkataraman Murali,Ind. Non-Executive Director,shriramcityunionfinance
3531,Diwakar B Gandhi,Ind. Non-Executive Director,shriramcityunionfinance
3532,Y S Chakravarti,Managing Director & CEO,shriramcityunionfinance
3533,Shashank Singh,Non Exe.Non Ind.Director,shriramcityunionfinance
3534,Pranab Prakash Pattanayak,Ind. Non-Executive Director,shriramcityunionfinance
3535,lgnatius Michael Viljoen,Non Exe.Non Ind.Director,shriramcityunionfinance
3536,S Lakshminarayanan,Chairman(NonExe.&Ind.Director),shriramtransportfinancecorporation
3537,D V Ravi,Director,shriramtransportfinancecorporation
3538,Kishori Udeshi,Independent Director,shriramtransportfinancecorporation
3539,Pradeep Kumar Panja,Independent Director,shriramtransportfinancecorporation
3540,Umesh Revankar,Vice Chairman & Mng.Director,shriramtransportfinancecorporation
3541,Ignatius Michael Viljoen,Director,shriramtransportfinancecorporation
3542,S Sridhar,Independent Director,shriramtransportfinancecorporation
3543,Mahabir Prasad Agarwal,Chairman,shyammetalicsenergy
3544,Sanjay Kumar Agarwal,Joint Managing Director,shyammetalicsenergy
3545,Bhagwan Shaw,Whole Time Director,shyammetalicsenergy
3546,Venkata Krishna Nageswara Rao Majji,Independent Director,shyammetalicsenergy
3547,Ashok Kumar Jaiswal,Independent Director,shyammetalicsenergy
3548,Kishan Gopal Baldwa,Independent Director,shyammetalicsenergy
3549,Brij Bhushan Agarwal,Vice Chairman & Mng.Director,shyammetalicsenergy
3550,Deepak Kumar Agarwal,Whole Time Director,shyammetalicsenergy
3551,Dev Kumar Tiwari,Whole Time Director,shyammetalicsenergy
3552,Yudhvir Singh Jain,Independent Director,shyammetalicsenergy
3553,Ajay Choudhury,Independent Director,shyammetalicsenergy
3554,Rajni Mishra,Independent Director,shyammetalicsenergy
3555,Deepak S Parekh,Chairman,siemens
3556,Daniel Spindler,Executive Director & CFO,siemens
3557,Mariel von Schumann,Director,siemens
3558,Tim Holt,Director,siemens
3559,Yezdi H Malegam,Independent Director,siemens
3560,Mehernosh B Kapadia,Independent Director,siemens
3561,Sunil Mathur,Managing Director & CEO,siemens
3562,Joe Kaeser,Director,siemens
3563,Johannes Apitzsch,Director,siemens
3564,Matthias Rebellius,Special Director,siemens
3565,Anjali Bansal,Independent Director,siemens
3566,Ravindra Kishore Sinha,Chairman,sis
3567,Uday Singh,Non Executive Director,sis
3568,Amrendra Prasad Verma,Independent Director,sis
3569,T C A Ranganathan,Independent Director,sis
3570,Renu Mattoo,Independent Director,sis
3571,Arvind Kumar Prasad,Director - Finance,sis
3572,Rituraj Kishore Sinha,Group Managing Director,sis
3573,Rita Kishore Sinha,Non Executive Director,sis
3574,Devdas Apte,Independent Director,sis
3575,Rajan Krishnanath Medhekar,Independent Director,sis
3576,Sunil Srivastav,Independent Director,sis
3577,Nand Lal Sharma,Chairman & Managing Director,sjvn
3578,Sushil Sharma,Director,sjvn
3579,Akhileshwar Singh,Director - Finance,sjvn
3580,Subhash Chander Negi,Independent Director,sjvn
3581,Ram Dass Dhiman,Government Nominee Director,sjvn
3582,Surinder Pal Bansal,Director,sjvn
3583,Geeta Kapur,Director - Personnel,sjvn
3584,Rajnish Pande,Independent Director,sjvn
3585,Tanmay Kumar,Government Nominee Director,sjvn
3586,Gopal Subramanyam,Chairman,skfindia
3587,Anu Wakhlu,Director,skfindia
3588,Aldo Cedrone,Director,skfindia
3589,Manish Bhatnagar,Managing Director,skfindia
3590,Werner Hoffmann,Director,skfindia
3591,Ingrid Viktoria Van Camp,Director,skfindia
3592,Ravi PNC Menon,Chairman,sobha
3593,T P Seetharam,Whole Time Director,sobha
3594,Anup Shah,Independent Director,sobha
3595,Sumeet Jagdish Puri,Independent Director,sobha
3596,J C Sharma,Vice Chairman & Mng.Director,sobha
3597,R V S Rao,Independent Director,sobha
3598,K N Srivathsala,Independent Director,sobha
3599,Satyanarayan Nuwal,Chairman & Executive Director,solarindustriesindia
3600,Suresh Menon,Executive Director,solarindustriesindia
3601,Dilip Patel,Ind. Non-Executive Director,solarindustriesindia
3602,Sujitha Karnad,Ind. Non-Executive Director,solarindustriesindia
3603,Sunil Srivastav,Ind. Non-Executive Director,solarindustriesindia
3604,Manish Nuwal,Managing Director & CEO,solarindustriesindia
3605,Anil Kumar Jain,Executive Director,solarindustriesindia
3606,Ajai Nigam,Ind. Non-Executive Director,solarindustriesindia
3607,Amrendra Verma,Ind. Non-Executive Director,solarindustriesindia
3608,Sunjay Kapur,Chairman & Non-Exe.Director,sonablwprecisionforgings
3609,Amit Dixit,Non Exe. & Nominee Director,sonablwprecisionforgings
3610,Venkata Rama Subbu Behara,Independent Director,sonablwprecisionforgings
3611,Jeff M Overly,Independent Director,sonablwprecisionforgings
3612,Vivek Vikram Singh,Managing Director & Group CEO,sonablwprecisionforgings
3613,Ganesh Mani,Non Exe. & Nominee Director,sonablwprecisionforgings
3614,Shradha Suri,Independent Director,sonablwprecisionforgings
3615,Prasan Abhaykumar Firodia,Independent Director,sonablwprecisionforgings
3616,Sanjay K Asher,Independent Director,sonatasoftware
3617,P Srikar Reddy,Managing Director & CEO,sonatasoftware
3618,Viren Raheja,Director,sonatasoftware
3619,Pradip P Shah,Chairman,sonatasoftware
3620,S B Ghia,Director,sonatasoftware
3621,Radhika Rajan,Director,sonatasoftware
3622,Ajay Singh,Chairman & Managing Director,spicejet
3623,Manoj Kumar,Independent Director,spicejet
3624,Ajay Aggarwal,Independent Director,spicejet
3625,Shiwani Singh,Non Exe.Non Ind.Director,spicejet
3626,Anurag Bhargava,Independent Director,spicejet
3627,Arun Bharat Ram,Chairman,srf
3628,Kartik Bharat Ram,Deputy Managing Director,srf
3629,Pramod G Gujarathi,Director,srf
3630,Vellayan Subbiah,Independent Director,srf
3631,Bharti Gupta Ramola,Independent Director,srf
3632,Yash Gupta,Independent Director,srf
3633,Ashish Bharat Ram,Managing Director,srf
3634,Meenakshi Gopinath,Director,srf
3635,Lakshman Lakshminarayan,Independent Director,srf
3636,Tejpreet S Chopra,Independent Director,srf
3637,Puneet Yadu Dalmia,Independent Director,srf
3638,Sajjan Bhajanka,Chairman & Managing Director,starcement
3639,Sanjay Agarwal,Managing Director,starcement
3640,Pankaj Kejriwal,Director,starcement
3641,Santanu Ray,Director,starcement
3642,Plistina Dkhar,Director,starcement
3643,Rajendra Chamaria,Vice Chairman & Mng.Director,starcement
3644,Prem Kumar Bhajanka,Managing Director,starcement
3645,Pramod Kumar Shah,Director,starcement
3646,Amit Kiran Deb,Director,starcement
3647,Ibaridor Katherine War,Director,starcement
3648,Anil Agarwal,Non Executive Chairman,sterlitetechnologies
3649,Anand Agarwal,WholeTime Director & Group CEO,sterlitetechnologies
3650,Sandip Das,Ind. Non-Executive Director,sterlitetechnologies
3651,S Madhavan,Ind. Non-Executive Director,sterlitetechnologies
3652,Pravin Agarwal,Vice Chairman & Whole Time Dir,sterlitetechnologies
3653,Ankit Agarwal,Whole Time Director,sterlitetechnologies
3654,Kumud Srinivasan,Ind. Non-Executive Director,sterlitetechnologies
3655,B J Arun,Ind. Non-Executive Director,sterlitetechnologies
3656,Arun Kumar,Chairman & Non-Exe.Director,stridespharmascience
3657,Badree Komandur,Executive Director & Group CFO,stridespharmascience
3658,Kausalya Santhanam,Independent Director,stridespharmascience
3659,Homi Rustam Khusrokhan,Independent Director,stridespharmascience
3660,R Ananthanarayanan,Managing Director & CEO,stridespharmascience
3661,Deepak Vaidya,Non Executive Director,stridespharmascience
3662,Bharat D Shah,Independent Director,stridespharmascience
3663,S Sridhar,Independent Director,stridespharmascience
3664,Pradeep R Rathi,Chairman,sudarshanchemicalindustries
3665,Ashish Vij,Whole Time Director,sudarshanchemicalindustries
3666,Dara N Damania,Ind. Non-Executive Director,sudarshanchemicalindustries
3667,Sanjay K Asher,Ind. Non-Executive Director,sudarshanchemicalindustries
3668,Naresh T Raisinghani,Ind. Non-Executive Director,sudarshanchemicalindustries
3669,Deepak Parikh,Ind. Non-Executive Director,sudarshanchemicalindustries
3670,Rajesh B Rathi,Managing Director,sudarshanchemicalindustries
3671,Anuj N Rathi,Non Exe.Non Ind.Director,sudarshanchemicalindustries
3672,Subramanian Padmanabhan,Ind. Non-Executive Director,sudarshanchemicalindustries
3673,Rathi F Forbes,Ind. Non-Executive Director,sudarshanchemicalindustries
3674,Shubhalakshmi A Panse,Ind. Non-Executive Director,sudarshanchemicalindustries
3675,Mukul G Asher,Chairman,sumitomochemicalindialimite
3676,Sushil Marfatia,Executive Director,sumitomochemicalindialimite
3677,B V Bhargava,Director,sumitomochemicalindialimite
3678,Tadashi Katayama,Director,sumitomochemicalindialimite
3679,Preeti Mehta,Director,sumitomochemicalindialimite
3680,Chetan Shah,Managing Director,sumitomochemicalindialimite
3681,Hiroyoshi Mukai,Director,sumitomochemicalindialimite
3682,Ninad D Gupte,Director,sumitomochemicalindialimite
3683,Masanori Uzawa,Director,sumitomochemicalindialimite
3684,Israel Makov,Chairman,sunpharmaceuticalindustries
3685,Sailesh T Desai,Whole Time Director,sunpharmaceuticalindustries
3686,Sudhir V Valia,Non Exe.Non Ind.Director,sunpharmaceuticalindustries
3687,Rama Bijapurkar,Independent Director,sunpharmaceuticalindustries
3688,Vivek Chaand Sehgal,Ind. Non-Executive Director,sunpharmaceuticalindustries
3689,Dilip S Shanghvi,Managing Director,sunpharmaceuticalindustries
3690,Kalyanasundaram Subramanian,Whole Time Director,sunpharmaceuticalindustries
3691,Pawan Goenka,Independent Director,sunpharmaceuticalindustries
3692,Rekha Sethi,Ind. Non-Executive Director,sunpharmaceuticalindustries
3693,Gautam Doshi,Ind. Non-Executive Director,sunpharmaceuticalindustries
3694,Dilip S Shanghvi,Chairman,sunpharmaadvancedresearchcompany
3695,Robert J Spiegel,Non Executive Director,sunpharmaadvancedresearchcompany
3696,Bhavna Doshi,Independent Director,sunpharmaadvancedresearchcompany
3697,T Rajamannar,Non Executive Director,sunpharmaadvancedresearchcompany
3698,Sudhir V Valia,Non Executive Director,sunpharmaadvancedresearchcompany
3699,Ferzaan Engineer,Independent Director,sunpharmaadvancedresearchcompany
3700,Kalanithi Maran,Executive Chairman,suntvnetwork
3701,Kaviya Kalanithi Maran,Executive Director,suntvnetwork
3702,Kavery Kalanithi,Executive Director,suntvnetwork
3703,R Ravivenkatesh,Independent Director,suntvnetwork
3704,M K Harinarayanan,Independent Director,suntvnetwork
3705,Sridhar Venkatesh,Independent Director,suntvnetwork
3706,Mathipoorana Ramakrishnan,Independent Director,suntvnetwork
3707,R Mahesh Kumar,Managing Director,suntvnetwork
3708,K Vijaykumar,Executive Director,suntvnetwork
3709,S Selvam,Non Executive Director,suntvnetwork
3710,J Ravindran,Independent Director,suntvnetwork
3711,Nicholas Martin Paul,Independent Director,suntvnetwork
3712,Desmond Hemanth Theodore,Independent Director,suntvnetwork
3713,Venu Srinivasan,Chairman & Managing Director,sundaramclayton
3714,Sudarshan Venu,Director,sundaramclayton
3715,T K Balaji,Director,sundaramclayton
3716,S Santhanakrishnan,Director,sundaramclayton
3717,R Vijayaraghavan,Director,sundaramclayton
3718,R Gopalan,Director,sundaramclayton
3719,Rajesh Narasimhan,Director,sundaramclayton
3720,Lakshmi Venu,Joint Managing Director,sundaramclayton
3721,Gopal Srinivasan,Director,sundaramclayton
3722,P J Jacob,Director,sundaramclayton
3723,V Subramanian,Director,sundaramclayton
3724,Kamlesh Gandhi,Director,sundaramclayton
3725,Sasikala Varadachari,Director,sundaramclayton
3726,Suresh Krishna,Chairman & Non-Exe.Director,sundramfasteners
3727,Arundathi Krishna,Joint Managing Director,sundramfasteners
3728,Preethi Krishna,Non Exe.Non Ind.Director,sundramfasteners
3729,Heramb R Hajarnavis,Independent Director,sundramfasteners
3730,R Srinivasan,Independent Director,sundramfasteners
3731,Arathi Krishna,Managing Director,sundramfasteners
3732,S Meenakshisundaram,WholeTime Director & CFO,sundramfasteners
3733,B Muthuraman,Independent Director,sundramfasteners
3734,Nirmala Lakshman,Independent Director,sundramfasteners
3735,S Mahalingam,Independent Director,sundramfasteners
3736,Kamal Khetan,Chairman & Managing Director,sunteckrealty
3737,Rachana Hingarajia,Director & Company Secretary,sunteckrealty
3738,Kishore Vussonji,Independent Director,sunteckrealty
3739,Atul Poopal,Executive Director,sunteckrealty
3740,Sandhya Malhotra,Independent Director,sunteckrealty
3741,Ramakant Nayak,Independent Director,sunteckrealty
3742,B L Taparia,Chairman,supremeindustries
3743,S J Taparia,Executive Director,supremeindustries
3744,R M Pandia,Director,supremeindustries
3745,Sarthak Behuria,Director,supremeindustries
3746,Y P Trivedi,Director,supremeindustries
3747,M P Taparia,Managing Director,supremeindustries
3748,V K Taparia,Executive Director,supremeindustries
3749,Ameeta Parpia,Director,supremeindustries
3750,B V Bhargava,Director,supremeindustries
3751,R Kannan,Director,supremeindustries
3752,M P Taparia,Chairperson,supremepetrochem
3753,B L Taparia,Director,supremepetrochem
3754,M S Ramachandran,Director,supremepetrochem
3755,Ameeta Parpia,Director,supremepetrochem
3756,Rajeev M Pandia,Director,supremepetrochem
3757,Rajan B Raheja,Director,supremepetrochem
3758,S J Taparia,Director,supremepetrochem
3759,R Kannan,Director,supremepetrochem
3760,S Sivaram,Director,supremepetrochem
3761,K V Mujumdar,Director,supremepetrochem
3762,Tulsi R Tanti,Chairman & Managing Director,suzlonenergy
3763,Girish R Tanti,Non Executive Director,suzlonenergy
3764,Hiten Timbadia,Non Executive Director,suzlonenergy
3765,Per Hornung Pedersen,Non Exe. & Ind. Director,suzlonenergy
3766,Gautam Doshi,Non Exe. & Ind. Director,suzlonenergy
3767,Vinod R Tanti,Whole Time Director & COO,suzlonenergy
3768,Rakesh Sharma,Non Executive Director,suzlonenergy
3769,Marc Desaedeleer,Non Exe. & Ind. Director,suzlonenergy
3770,Sameer Shah,Non Exe. & Ind. Director,suzlonenergy
3771,Seemantinee Khot,Non Exe. & Ind. Director,suzlonenergy
3772,Navinbhai C Dave,Chairman,swanenergy
3773,Paresh V Merchant,Executive Director,swanenergy
3774,Rajkumar Sukhdevsinhji,Director,swanenergy
3775,Shobhan I Diwanji,Director,swanenergy
3776,Surekha N Oak,Director,swanenergy
3777,Nikhil V Merchant,Managing Director,swanenergy
3778,Sugavanam Padmanabhan,Whole Time Director,swanenergy
3779,Pitamber S Teckchandani,Director,swanenergy
3780,Rajat Kumar Das Gupta,Director,swanenergy
3781,Achal Bakeri,Chairman & Managing Director,symphony
3782,Jonaki Bakeri,Non Executive Director,symphony
3783,Santosh Nema,Independent Director,symphony
3784,Reena Bhagwati,Independent Director,symphony
3785,Nrupesh Shah,Executive Director,symphony
