Date,Open,High,Low,Close,Volume
2022-04-01,12.25,12.7,12.25,12.65,87342736.0
2022-04-04,12.75,13.2,12.7,13.1,114480211.0
2022-04-05,13.25,13.25,12.95,13.0,91829702.0
2022-04-06,13.0,15.2,12.9,14.7,559694362.0
2022-04-07,15.3,16.25,14.9,15.55,894347658.0
2022-04-08,15.65,16.05,15.15,15.65,388365991.0
2022-04-11,15.65,15.7,15.0,15.1,196889010.0
2022-04-12,15.0,15.15,14.4,14.65,174419841.0
2022-04-13,14.7,14.9,14.5,14.55,70370226.0
2022-04-18,14.45,14.45,13.8,14.1,99356804.0
2022-04-19,14.1,14.2,13.55,13.75,75612704.0
2022-04-20,13.8,14.15,13.7,13.9,78987240.0
2022-04-21,14.0,14.25,13.95,14.15,75566285.0
2022-04-22,14.05,14.2,13.9,13.95,55184187.0
2022-04-25,13.85,13.9,13.65,13.75,80863122.0
2022-04-26,13.7,14.05,13.65,13.75,53580878.0
2022-04-27,13.7,13.75,13.5,13.55,50823471.0
2022-04-28,13.6,13.75,13.45,13.65,52950069.0
2022-04-29,13.7,13.95,13.55,13.65,79999730.0
2022-05-02,14.25,14.5,13.65,13.8,154079451.0
2022-05-04,13.9,13.95,13.45,13.55,100802126.0
2022-05-05,13.7,13.8,13.45,13.5,62604654.0
2022-05-06,13.4,13.4,13.1,13.2,70858847.0
2022-05-09,13.05,13.2,12.9,12.95,80727091.0
2022-05-10,12.95,13.2,12.9,13.0,69056902.0
2022-05-11,13.05,13.1,12.6,12.85,97715454.0
2022-05-12,12.85,12.85,12.5,12.55,108927333.0
2022-05-13,12.7,12.85,12.45,12.45,69982971.0
2022-05-16,12.55,12.8,12.5,12.7,46521622.0
2022-05-17,12.8,13.5,12.7,13.3,162808205.0
2022-05-18,13.5,14.0,13.2,13.9,197553271.0
2022-05-19,13.5,14.05,13.25,13.45,162559992.0
2022-05-20,13.75,14.3,13.65,13.95,154935644.0
2022-05-23,14.0,14.15,13.7,13.75,121476707.0
2022-05-24,13.75,13.9,13.4,13.45,81452469.0
2022-05-25,13.5,13.55,12.95,13.05,88268100.0
2022-05-26,13.1,13.45,12.8,13.25,50038976.0
2022-05-27,13.5,13.55,13.25,13.4,45731067.0
2022-05-30,13.45,13.55,13.35,13.45,35028932.0
2022-05-31,13.45,13.5,13.05,13.15,61918137.0
2022-06-01,13.15,13.3,13.1,13.25,34785728.0
2022-06-02,13.45,13.55,13.3,13.35,38822401.0
2022-06-03,13.45,13.55,13.15,13.25,35997270.0
2022-06-06,13.2,13.35,13.1,13.15,32648669.0
2022-06-07,13.15,13.25,13.05,13.05,31123663.0
2022-06-08,13.1,13.45,13.05,13.2,40720659.0
2022-06-09,13.2,13.25,13.05,13.2,31264919.0
2022-06-10,13.15,13.2,12.85,12.95,43479577.0
2022-06-13,12.85,12.95,12.75,12.8,41876039.0
2022-06-14,12.8,12.9,12.65,12.7,28710092.0
2022-06-15,12.75,13.0,12.7,12.75,45778927.0
2022-06-16,12.85,12.9,12.45,12.5,60215220.0
2022-06-17,12.55,12.7,12.35,12.45,89833411.0
2022-06-20,12.45,12.75,12.25,12.35,93738331.0
2022-06-21,12.4,12.65,12.35,12.6,39274440.0
2022-06-22,12.6,12.6,12.45,12.45,26497740.0
2022-06-23,12.5,12.65,12.4,12.45,27841070.0
2022-06-24,12.5,13.05,12.5,12.75,86625594.0
2022-06-27,12.9,12.95,12.7,12.85,33445377.0
2022-06-28,12.85,12.9,12.65,12.85,33141182.0
2022-06-29,12.75,12.9,12.7,12.7,26528632.0
2022-06-30,12.7,12.8,12.6,12.65,33846649.0
2022-07-01,12.65,12.75,12.55,12.65,18633694.0
2022-07-04,12.65,12.75,12.6,12.65,21510057.0
2022-07-05,12.7,12.85,12.6,12.65,20011968.0
2022-07-06,12.65,12.7,12.55,12.65,23304730.0
2022-07-07,12.7,12.95,12.7,12.85,27916898.0
2022-07-08,12.9,12.95,12.7,12.8,19792617.0
2022-07-11,12.75,13.35,12.7,13.15,92442757.0
2022-07-12,13.15,13.7,13.1,13.35,92851423.0
2022-07-13,13.5,13.6,13.15,13.25,50448827.0
2022-07-14,13.35,13.5,13.1,13.3,40934758.0
2022-07-15,13.35,13.5,13.1,13.3,58240029.0
2022-07-18,13.4,13.5,13.25,13.35,62818790.0
2022-07-19,13.35,13.55,13.3,13.5,61974559.0
2022-07-20,13.6,13.7,13.55,13.6,41676425.0
2022-07-21,13.65,14.5,13.55,14.3,166126277.0
2022-07-22,14.5,15.0,14.45,14.7,159313294.0
2022-07-25,14.7,14.7,14.7,14.7,13316953.0
2022-07-26,14.25,14.35,13.65,13.7,85276540.0
2022-07-27,13.75,14.9,13.7,14.7,215320288.0
2022-07-28,14.8,15.0,14.35,14.55,121638236.0
2022-07-29,14.7,15.3,14.65,14.95,240308552.0
2022-08-01,15.8,15.8,14.75,15.25,283753874.0
2022-08-02,15.4,17.9,15.2,17.15,984540451.0
2022-08-03,17.3,17.5,16.15,16.45,380839570.0
2022-08-04,16.6,17.05,16.35,16.65,234484381.0
2022-08-05,16.8,16.95,16.6,16.65,111491714.0
2022-08-08,16.65,16.65,16.65,16.65,13316954.0
2022-08-10,16.0,16.05,15.25,15.4,138968107.0
2022-08-11,15.65,15.7,15.25,15.4,110441016.0
2022-08-12,15.3,15.45,15.15,15.3,73702389.0
2022-08-16,15.3,16.0,15.3,15.9,148736090.0
2022-08-17,16.0,16.8,15.95,16.55,237169795.0
2022-08-18,16.55,16.8,16.35,16.65,121482844.0
2022-08-19,16.65,16.75,16.15,16.55,183960328.0
2022-08-22,16.5,16.6,16.25,16.35,65541015.0
2022-08-23,16.15,16.85,16.15,16.3,119341274.0
2022-08-24,16.35,16.75,16.25,16.6,86755636.0
2022-08-25,16.8,16.95,16.45,16.5,94097792.0
2022-08-26,16.6,16.7,16.4,16.45,61100663.0
2022-08-29,16.1,16.35,15.85,16.2,101321244.0
2022-08-30,16.25,16.6,16.25,16.45,79280387.0
2022-09-01,16.35,16.6,16.35,16.35,75338213.0
2022-09-02,16.45,16.5,16.2,16.2,53454387.0
2022-09-05,16.25,17.4,16.2,16.65,145151126.0
2022-09-06,16.75,17.2,16.5,16.75,126241432.0
